Station|Source|Net|Latitude|Longitude|Distance|Azimuth|Elevation|Station Name
MAJO|IRISDMC|IU|36.54567|138.20406|159.4089366338926|-56.618689184033904|405|Matsushiro, Japan
MDJ|IRISDMC|IC|44.61763|129.59341|159.46394442309355|-26.78281367291277|290|Mudanjiang, Heilongjiang Province, China
CHTO|IRISDMC|IU|18.81401|98.94447|161.744261201681|112.38723933212499|481|Chiang Mai, Thailand
INCN|IRISDMC|IU|37.4776|126.6239|166.50494715310103|-35.62022215056669|80|Inchon, Republic of Korea
BJT|IRISDMC|IC|40.019074|116.171611|166.82308429382678|1.9861350874605634|220|Baijiatuan, Beijing, China
KMI|IRISDMC|IC|25.14825|102.74748|167.29537506124782|94.57659519153597|1975|Kunming, Yunnan Province, China
QIZ|IRISDMC|IC|19.02928|109.84398|169.91655622047512|139.42618605955892|240|Qiongzhong, Hainan Province, China
XAN|IRISDMC|IC|34.03107|108.92321|170.14654861571123|41.34136121898378|664|Xi'an, China
ENH|IRISDMC|IC|30.2762|109.49474|172.75834287418087|60.08026442148857|463|Enshi, Hubei Province, China
SSE|IRISDMC|IC|31.09455|121.18863|174.2569352243948|-41.32846123835403|20|Shanghai, China
HKPS|IRISDMC|HK|22.277599|114.141502|174.84277740129073|151.91429809724903|196.3|Po Shan, Hong Kong
TATO|IRISDMC|IU|24.9735|121.4971|175.34645102457117|-112.74758968092323|160|Taipei, Taiwan
