Station|Source|Net|Latitude|Longitude|Distance|Azimuth|Elevation|Station Name
TATO|IRISDMC|IU|24.9735|121.4971|76.0466874126084|-67.98020442924599|160|Taipei, Taiwan
BJT|IRISDMC|IC|40.019074|116.171611|76.76557705673012|-51.84838459156485|220|Baijiatuan, Beijing, China
DAV|IRISDMC|IU|7.0697|125.5791|77.25285405382853|-86.77760639084546|151|Davao, Philippines
OTAV|IRISDMC|IU|0.2376|-78.45076|77.70002909824505|94.00407214199585|3491|Otavalo, Ecuador
GRTK|IRISDMC|CU|21.511472|-71.13425|78.20947716859067|71.0582462047998|13|Grand Turk, Turks and Caicos Islands
SFJD|IRISDMC|IU|66.9961|-50.62076|78.3580895920627|22.679417001638527|330|Sondre Stromfjord, Greenland
SDDR|IRISDMC|CU|18.982121|-71.287836|78.76847719027501|73.57999764192142|589|Presa de Sabenta, Dominican Republic
WRAB|IRISDMC|II|-19.9336|134.36|78.88922925480887|-115.72181420891768|366|Tennant Creek, NT, Australia
BBSR|IRISDMC|IU|32.371299|-64.696299|80.72753447795301|58.835878690449405|30|Bermuda Institute of Ocean Sciences, St George's Bermuda
ULN|IRISDMC|IU|47.8651|107.0532|80.95393055689459|-42.3486065211971|1610|Ulaanbaatar, Mongolia
TAU|IRISDMC|II|-42.9082|147.321|81.0012709592522|-141.46420282674407|132|Hobart, Tasmania, Australia
TLY|IRISDMC|II|51.6807|103.6438|81.7879008047286|-37.97452653017573|579|Talaya, Russia
KBS|IRISDMC|IU|78.9154|11.9385|82.0134023017971|2.4147824613922593|90|Ny-Alesund, Spitzbergen, Norway
SDV|IRISDMC|IU|8.8839|-70.634|82.35334516030542|83.17358752304014|1620|Santo Domingo, Venezuela
MCQ|IRISDMC|AU|-54.4983|158.9403|82.96806107285587|-155.31836147067986|14|Macquarie Island
HKPS|IRISDMC|HK|22.277599|114.141502|83.26765318195746|-68.71202087393343|196.3|Po Shan, Hong Kong
NNA|IRISDMC|II|-11.9875|-76.8422|83.41600190952067|105.08342199892654|575|Nana, Peru
SJG|IRISDMC|IU|18.1091|-66.15|83.68163753694287|72.98311319879774|420|San Juan, Puerto Rico
XAN|IRISDMC|IC|34.03107|108.92321|83.99118697544537|-56.03784050360179|664|Xi'an, China
ENH|IRISDMC|IC|30.2762|109.49474|84.73782841623215|-59.76743903680509|463|Enshi, Hubei Province, China
KAPI|IRISDMC|II|-5.0142|119.7517|86.64313420941156|-96.45884329734943|300|Kappang, Sulawesi, Indonesia
ANWB|IRISDMC|CU|17.6684|-61.78562|87.76153427311976|72.08691965281677|9|North Barbuda Island
QIZ|IRISDMC|IC|19.02928|109.84398|88.1104530325426|-70.52401535454142|240|Qiongzhong, Hainan Province, China
BORG|IRISDMC|II|64.7474|-21.3268|89.41244348832485|17.809625491237313|110|Borgarfjordur, Asbjarnarstadir, Iceland
GRGR|IRISDMC|CU|12.13237|-61.65407|89.69666995848212|77.27679888607126|191|Grenville, Grenada
BBGH|IRISDMC|CU|13.1434|-59.5588|91.28845144577046|75.64320109530519|180|Gun Hill, Barbados
KEV|IRISDMC|IU|69.7565|27.0035|91.40486051038263|-0.8756502651485102|100|Kevo, Finland
